,time,depth,lat,lon,water_u,water_v,speed,direction,y_speed,y_direction,hour,day,month,year,sin_month,cos_month,sin_day,cos_day,sin_hour,cos_hour,day_of_year
4064190,2021-10-20 00:00:00,8.0,17.0,288.96002197265625,-0.36800003,-0.101,0.38160846842189783,254.65270404324292,0.32324837726256733,5.543819898599908,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064191,2021-10-20 00:00:00,8.0,17.0,289.03997802734375,-0.35900003,-0.07700001,0.3671648411792365,257.8943459742768,0.3127391365576567,5.556420047871968,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064192,2021-10-20 00:00:00,8.0,17.0,289.1199951171875,-0.349,-0.032,0.3504639852015378,264.76116544880836,0.3004482261433969,5.582598031198567,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064193,2021-10-20 00:00:00,8.0,17.0,289.20001220703125,-0.34100002,0.05,0.34464621578980487,278.3416988774364,0.296130941866106,5.632435759614112,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064194,2021-10-20 00:00:00,8.0,17.0,289.280029296875,-0.342,0.147,0.3722539525424255,293.25922134552695,0.31645460878069676,5.684461084121826,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064195,2021-10-20 00:00:00,8.0,17.0,289.3599853515625,-0.347,0.21300001,0.4071584558010704,301.54297039356675,0.3415723914081045,5.712223318270448,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064196,2021-10-20 00:00:00,8.0,17.0,289.44000244140625,-0.35200003,0.282,0.4510299575375898,308.69947868136603,0.3722736198209622,5.735602403675726,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064197,2021-10-20 00:00:00,8.0,17.0,289.52001953125,-0.36100003,0.386,0.5285045205633917,316.9168109699167,0.4242898198605002,5.761789747833206,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064198,2021-10-20 00:00:00,8.0,17.0,289.5999755859375,-0.37500003,0.439,0.5773612660737897,319.4955762118117,0.4557533661292211,5.769868473494207,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064199,2021-10-20 00:00:00,8.0,17.0,289.67999267578125,-0.393,0.432,0.584014567394357,317.7065174417536,0.45996248993729233,5.764270671298137,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064200,2021-10-20 00:00:00,8.0,17.0,289.760009765625,-0.409,0.41300002,0.5812486748218816,315.2788086635426,0.45821483543603403,5.756624130481147,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064201,2021-10-20 00:00:00,8.0,17.0,289.8399658203125,-0.42400002,0.39000002,0.5760868277564017,312.6082046980676,0.45494508367214426,5.748144451074276,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064202,2021-10-20 00:00:00,8.0,17.0,289.91998291015625,-0.437,0.37300003,0.5745415779864068,310.4823083189011,0.4539641683150168,5.741342541490691,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064203,2021-10-20 00:00:00,8.0,17.0,290.0,-0.44500002,0.31300002,0.544053338179994,305.12142944314155,0.434410996459268,5.723981851482437,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064204,2021-10-20 00:00:00,8.0,17.0,290.08001708984375,-0.439,0.216,0.4892617005560645,296.1984429906802,0.39828049417269035,5.694400073902156,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064205,2021-10-20 00:00:00,8.0,17.0,290.1600341796875,-0.41900003,0.126,0.4375351703409051,286.7368688014067,0.36292995971418074,5.662046412508274,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064206,2021-10-20 00:00:00,8.0,17.0,290.239990234375,-0.38500002,0.046000004,0.38773833438989314,276.81343039026774,0.32767532442049646,5.626949774688956,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064207,2021-10-20 00:00:00,8.0,17.0,290.32000732421875,-0.34,-0.043,0.3427083345316488,262.792035571472,0.2946887193697669,5.575161048665481,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064208,2021-10-20 00:00:00,8.0,17.0,290.4000244140625,-0.296,-0.120000005,0.3193994417695654,247.93209842827383,0.27717666471238406,5.517180162200893,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
4064209,2021-10-20 00:00:00,8.0,17.0,290.47998046875,-0.266,-0.16100001,0.3109292615602294,238.81502532035742,0.2707362457058357,5.479867898346754,0,20,10,2021,-0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,0.0,1.0,293
